"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-04-02 10:43:17.737000","4fb513f6-1a55-e911-a823-bb3187216d89",SGN-IST-AMS-IST-SGN-IST-AMS,SGN,AMS,Return
"2019-03-19 20:01:06.830000","9a841e93-684a-e911-a820-a7f2c9e35195",SHE-KMG-CTU-LAX-SHE-KMG-CTU,SHE,CTU,Return
"2019-04-24 16:52:12.843000","62ab1028-9866-e911-a821-8111ee911e19",SOG-OSL-AMS-OSL-SOG-OSL-AMS,SOG,AMS,Return
"2019-03-25 12:36:14.533000",c742176e-e14e-e911-a823-bb3187216d89,SYD-DXB-AMS-SIN-SYD-DXB-AMS,SYD,AMS,Return
"2019-09-19 05:18:51.437000","1ea073d1-83da-e911-a822-e453a8e76766",SYD-SIN-DEL-SIN-SYD-SIN-DEL,SYD,DEL,Return
"2019-09-16 15:26:09.000000","72597b27-7dd8-e911-a822-e453a8e76766",TBS-BAH-BKK-BAH-TBS-BAH-BKK,TBS,BKK,Return
"2019-02-24 21:05:54.517000","5dfa93d1-5e38-e911-a820-a7f2c9e35195",TUN-ABJ-MUC-TUN-ABJ-TUN-MUC,TUN,MUC,Return
"2019-09-30 21:53:11.937000","7c58a288-b3e3-e911-a822-e453a8e76766",UIO-AMS-GVA-AMS-UIO-AMS-GVA,UIO,GVA,Return
"2019-12-02 00:40:21.487000","1c27e529-8314-ea11-a822-e453a8e76766",WLG-SIN-ZRH-SIN-AKL-SIN-ZRH,WLG,ZRH,Return
"2019-09-09 17:02:32.313000","7cfaf872-0ad3-e911-a821-8111ee911e19",XMN-LAX-ICN-XMN-LAX-XMN-ICN,XMN,ICN,Return
"2019-07-13 00:24:39.903000","0125dc6f-eba4-e911-a821-8111ee911e19",YQR-YYZ-AUH-CCJ-AUH-YYZ-YQR,YQR,YQR,One Way
"2019-02-26 12:14:05.327000",ec38d3db-a639-e911-a820-a7f2c9e35195,YTZ-YUL-DOH-AMD-DOH-YUL-YYZ,YTZ,YYZ,Return
"2019-10-14 13:49:53.617000",adbc3c56-70ee-e911-a822-e453a8e76766,ZNZ-IST-TXL-IST-ZNZ-IST-TXL,ZNZ,TXL,Return
"2019-05-05 23:19:07.140000","0c1ab304-736f-e911-a821-8111ee911e19",AMM-KUL-TUN-AMM-KUL-BKK-AMM-TUN,AMM,TUN,Return
"2019-01-18 12:45:10.520000",f06993bc-051b-e911-a820-a7f2c9e35195,AMS-CGK-ZWE-AMS-DPS-SIN-AMS-ZWE,AMS,ZWE,Return
"2019-09-12 22:40:18.517000","1f5a0b25-95d5-e911-a822-e453a8e76766",AMS-EBB-BOS-AMS-EBB-AMS-CDG-BOS,AMS,BOS,Return
"2019-02-19 14:43:15.433000","5a31aa88-3b34-e911-a820-a7f2c9e35195",BAH-AMS-BAH-AMS-ATL-TPA-ATL-AMS,BAH,AMS,Return
"2019-08-03 11:15:47.907000","084c83e3-c6b5-e911-a821-8111ee911e19",BAH-FRA-BAH-FRA-IAH-LCH-IAH-FRA,BAH,FRA,Return
"2019-12-13 00:30:41.643000","344969a0-261d-ea11-a822-e453a8e76766",BRU-BJL-ORD-BRU-BJL-BRU-YUL-ORD,BRU,ORD,Return
"2019-08-14 17:59:15.970000","82eb4a12-a4be-e911-a821-8111ee911e19",BRU-BJL-ORD-YYZ-BRU-BJL-BRU-ORD,BRU,ORD,Return
"2019-10-23 00:54:00.570000",f1347673-16f5-e911-a822-e453a8e76766,CGK-AMQ-CGK-DPS-AMS-KNO-CGK-DPS,CGK,DPS,Return
"2019-07-02 13:18:36.257000","3262edbf-b29c-e911-a821-8111ee911e19",CHC-DXB-AMS-DXB-BNE-CHC-DXB-AMS,CHC,AMS,Return
